Subj,Crse,# Sec,Mode,Cred,Title,XList,Rest,Preq,Coreq,Instructor,Enroll Estimate,"Multi Campus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,3600,1,TR,3,Networks and Network Programming,,,P,,Andrew C Robb (P),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,3710,1,TR,3,Systems Analysis,,,P,,Roger Van Scoy (P),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,3720,1,TR,3,Introduction to Software Engineering,,,P,,Connie Taylor (P),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,3720,2,TR,3,Introduction to Software Engineering,,,P,,Adkins-Daniel (P),100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,3750,1,TR,3,Web Application Development,,,P,,Dan Wooster (P),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6070,1,TR,3,Applied Computer Vision,K1,,P,,Siyu Huang (P),30,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6110,1,TR,3,Virtual Reality Systems,K2,,P,,Andrew C Robb (P),30,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6140,1,TR,3,Human and Computer Interaction,K3,,P,,Sabarish Venkat Babu (P),60,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6140,1,TR,3,Human and Computer Interaction,K4,,P,,Katie Park (P),60,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6170,1,TR,3,3D Game Programming: Algorithms and Techniques,K5,,P,,Matias Volonte (P),30,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6180,1,TR,3,Usable Privacy and Security,K6,,P,,Catherine Barwulor (GTR),50,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6190,1,TR,3,Physical Modeling and Animation,K7,,P,,Jerry A. Tessendorf (P),10,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6200,1,TR,3,Computer Security Principles,K8,,P,,Mert Pese (P),65,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6240,1,TR,3,System Administration and Security,K9,,P,,Svetlana V Drachova (P),65,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6300,2,TR,3,Applied Data Science,K10,,P,,Tim Ransom (P),120,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,6300,1,CRSRA,3,Applied Data Science,K11,,P,,Tim Ransom (P),50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6420,1,TR,3,Artificial Intelligence,K13,,P,,Abolfazl Razi (P),65,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6430,1,TR,3,Machine Learning: Implementation and Evaluation,K14,,P,,Kai Liu (P),65,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6440,1,TR,3,Cloud Computing Architecture,K15,,P,,Mitch Shue (P),65,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6440,1,TR,3,Cloud Computing Architecture,K16,,P,,Christopher Tod Flathmann (P),65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,6620,1,CRSRA,3,Database Management Systems,K18,,P,,Connie Taylor (P),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6620,1,TR,3,Database Management Systems,K18,,P,,Connie Taylor (P),50,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6620,1,TR,3,Database Management Systems,K18,,P,,James Wang (P),60,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6720,1,TR,3,Software Development Methodology,K19,,P,,Julian Langston Brinkley (P),65,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6780,1,TR,3,General Purpose Computation on Graphical Processing Units,K19,,P,,Shuangshuang Jin (P),65,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6820a,1,TR,3,Special Topics: Embedded Systems,K20,,P,,Jacob M Sorber (P),30,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4+6820b,1,TR,3,Special Topics: Cryptography,K26,,P,,Zhenkai Zhang (P),65,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4910,1,TR,3,Senior Computing Practicum,,R,P,,Roger Van Scoy (P),80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4910,1,TR,3,Senior Computing Practicum- Capstone,,R,P,,Carrie Russell (P),50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4911,4,TR,0,Senior Computing Practicum Laboratory,,,,C,Roger Van Scoy (P),80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,4911,1,TR,0,Senior Computing Practicum Laboratory,,,,C,Carrie Russell (P),50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
